pos_current: [116.3851715309677, 39.90446138582078, 0], speed: 17.77, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38516812467292, 39.90446138924906, 0], speed: 17.74, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38516690679852, 39.90446553613262, 0], speed: 17.74, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38516568961063, 39.904469680678844, 0], speed: 17.73, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38516447242274, 39.90447382522532, 0], speed: 17.73, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38516325523486, 39.90447796977204, 0], speed: 17.73, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38516203804697, 39.90448211431901, 0], speed: 17.73, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38516082017257, 39.90448626120382, 0], speed: 17.74, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515964211594, 39.90449027250865, 0], speed: 17.16, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515861921128, 39.904493755518295, 0], speed: 14.90, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515779402242, 39.904496565302054, 0], speed: 12.02, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515696883356, 39.90449937508593, 0], speed: 12.02, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515629536411, 39.904501668262384, 0], speed: 9.81, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515562189467, 39.90450396143891, 0], speed: 9.81, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515494842522, 39.90450625461552, 0], speed: 9.81, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515447679066, 39.90450786054048, 0], speed: 6.87, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3851540051561, 39.90450946646547, 0], speed: 6.87, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515353352153, 39.9045110723905, 0], speed: 6.87, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515306188697, 39.90451267831557, 0], speed: 6.87, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3851525902524, 39.904514284240676, 0], speed: 6.87, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515211861784, 39.90451589016582, 0], speed: 6.87, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 6.87, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: -0.7000000000000028, steering_wheel_angle: -7
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: -0.7000000000000028, steering_wheel_angle: -7
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: -0.7000000000000028, steering_wheel_angle: -7
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: -0.5, steering_wheel_angle: -5
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
